Part No.,Description,Order,Cost ,Price ,Model,Inventory Turnover,Sales 2024,Sales 2023,Inventory,Category,Annual Target
21523462,Piston and sleeve,360,2216.05,150000,FH13-440,Medium-moving,6,0,0,Engine,361
21707134,Filter,188,52.2,3200,ALL,Fast-moving,642,984,66,Lubricant,375
21834205,FILTER,500,430.7,26000,FH13,Fast-moving,296,707,555,Lubricant,378
20919484,Brass connector,240,30.86,1500,FH12,Fast-moving,72,240,0,Engine,439
21948261,Engine mounting,500,323.28,12000,FH12,Fast-moving,0,0,0,Engine,507
20867178,Piston ring kit,350,59.19,3000,FM,Fast-moving,0,158,14,Engine,515
3183283,VALVE GUIDE,600,31.24,3500,FM,Slow-moving,24,3,26,Engine,558
276630,Bearing,1800,50.27,3000,FH12,Slow-moving,42,0,1087,Engine,569
21834199,FILTER INSERT,600,334.61,26000,FM9,Fast-moving,123,227,148,Lubricant,571
21041297,AIR FILTER,500,357.53,23000,FH12,Fast-moving,105,363,102,Lubricant,689
3099100,Diesel return valve,300,371.46,22000,FH12,Fast-moving,5,370,4,Engine,705
21834210,FILTER INSERT,500,385.4,23000,FH12,Fast-moving,175,514,161,Lubricant,720
20998367,Water separator filter 12,271,149.6,5500,FH12,Medium-moving,5,1046,63,Lubricant,1083
21707133,Filter,591,67.78,3600,ALL,Fast-moving,2595,3748,321,Lubricant,1182
20580558,Engine choke valve,900,90.81,3800,FH13,Fast-moving,0,319,62,Engine,1190
21707132,Filter,671,62.43,3700,ALL,Fast-moving,1316,2538,128,Lubricant,1342
276134,Bearing,1800,69.74,3500,FH12,Medium-moving,0,823,24,Engine,2686
20530916,Engine belt,3150,69.65,3500,FH12-FH13,Fast-moving,35,0,35,Engine,3084
21501189,Front engine tray rubber gasket,3000,3.85,300,FH12,Fast-moving,0,124,5,Engine,3138
